yr_built,yr_renovated,house_age,age_after_renovtion,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,zipcode,lat,long,living_measure15,lot_measure15,furnished,total_area,price,Premium_House
2007,0,8,0,4,3.5,3990,11270,2,0,3,3,9,2930,1060,98055,47.488,-122.225,1980,11328,1,15260,609000,0
1979,0,36,0,5,2.5,2810,14207,1,0,3,3,9,1540,1270,98008,47.5742,-122.11,3190,14000,1,17017,830000,0
1946,0,68,0,3,1,1220,8329,1,0,0,3,6,1220,0,98115,47.6982,-122.298,1490,8322,0,9549,387500,0
1997,0,18,0,4,2.5,2400,7092,2,0,0,3,7,2400,0,98133,47.7522,-122.338,2350,8310,0,9492,442500,0
1966,0,48,0,3,2.25,1620,10850,1,0,0,3,7,1620,0,98055,47.4437,-122.194,1910,10568,0,12470,250000,0
1927,0,87,0,3,2,1410,4800,1.5,0,0,4,8,1410,0,98118,47.5597,-122.267,1820,7200,0,6210,655000,0
1923,0,91,0,3,2,1820,4480,1,0,0,5,7,1120,700,98105,47.6717,-122.295,1920,4480,0,6300,655000,0
2012,0,2,0,2,2.5,2170,6750,1,0,0,3,8,2170,0,98053,47.7115,-122.014,2150,6074,0,8920,765000,0
1977,0,37,0,5,3.25,3690,12353,2,0,0,5,9,3690,0,98155,47.7672,-122.292,2290,9082,1,16043,655000,0
1932,2005,83,10,6,2,2400,7684,1,0,0,3,6,1200,1200,98028,47.7705,-122.269,1290,9800,0,10084,387500,0
1974,0,40,0,4,2.25,1930,8925,1,0,0,4,8,1930,0,98058,47.4501,-122.128,1930,8400,0,10855,289000,0
1996,0,19,0,1,1,890,211576,1.5,0,0,3,7,890,0,98019,47.7216,-121.883,1670,217364,0,212466,362000,0
1967,0,47,0,3,2,1760,6875,1,0,0,4,8,1760,0,98072,47.74,-122.093,1670,13650,0,8635,400000,0
1984,0,30,0,4,2.25,2380,122038,2,0,0,4,8,2380,0,98022,47.2624,-122.015,2030,48000,0,124418,330000,0
1945,0,70,0,5,1.75,2740,9600,1,0,0,4,7,1370,1370,98144,47.5738,-122.315,1990,4800,0,12340,470000,0
1909,0,105,0,3,1,1400,1581,1.5,0,0,5,8,1400,0,98112,47.6221,-122.314,1860,3861,0,2981,667000,0
1961,0,54,0,3,1,1420,11040,1,0,0,4,7,1420,0,98007,47.5969,-122.14,1530,8208,0,12460,490000,0
1914,0,100,0,4,2,3210,8400,1.5,0,0,5,7,2040,1170,98136,47.5322,-122.391,2540,6458,0,11610,756450,0
1925,1993,90,22,4,3.25,2860,3680,2,0,0,3,9,1980,880,98115,47.6752,-122.3,2010,3680,1,6540,825050,0
1959,0,55,0,3,1,1000,12000,1,0,0,3,7,1000,0,98023,47.3321,-122.346,1490,14940,0,13000,217000,0
1920,0,95,0,4,1,1300,1651359,1,0,3,4,6,1300,0,98022,47.2313,-122.023,2560,425581,0,1652659,700000,0
2001,0,13,0,2,1.5,1180,1034,2,0,0,3,7,1120,60,98115,47.678,-122.322,1137,1034,0,2214,410000,0
1968,0,46,0,3,1,1510,10369,1,0,0,4,7,1010,500,98059,47.4808,-122.099,1510,16057,0,11879,313000,0
1919,0,95,0,3,1,1530,389126,1.5,0,0,4,7,1530,0,98022,47.1776,-122.011,1768,42148,0,390656,230000,0
1992,0,22,0,4,3,2190,5085,2,0,0,4,8,2190,0,98029,47.5693,-122.002,2130,5142,0,7275,520000,0
1948,0,66,0,4,1.75,2080,8215,2,0,0,4,7,2080,0,98155,47.737,-122.305,1550,8215,0,10295,385000,0
2005,0,9,0,2,1.5,680,772,2,0,0,3,7,680,0,98103,47.695,-122.343,690,1059,0,1452,239000,0
2009,0,6,0,4,2.5,1600,9921,2,0,0,3,7,1600,0,98042,47.3678,-122.124,2140,5806,0,11521,270000,0
2001,0,13,0,4,2.5,2980,210395,2,0,0,3,9,2980,0,98045,47.4575,-121.707,2530,45596,1,213375,620000,0
1955,0,59,0,3,1.75,2130,8742,1,0,3,3,7,1330,800,98178,47.5057,-122.231,2380,7448,0,10872,361000,0
1965,2003,49,11,5,6.25,8670,64033,2,0,4,3,13,6120,2550,98177,47.7295,-122.372,4140,81021,1,72703,2890000,1
1977,0,37,0,4,2.5,2340,41600,1,0,0,3,8,1640,700,98077,47.7466,-122.077,2340,34960,0,43940,522250,0
1941,1969,73,45,5,2,1930,6120,1.5,0,0,3,6,1930,0,98146,47.5073,-122.337,1130,6120,0,8050,230000,0
1998,0,16,0,4,2.5,3200,12369,2,0,0,3,10,3200,0,98059,47.5273,-122.143,3770,12960,1,15569,725126,0
1987,0,27,0,4,3.25,3500,10260,2,0,0,3,10,3500,0,98008,47.5902,-122.13,3500,10658,1,13760,798000,0
1998,0,16,0,4,2.5,3520,9901,2,0,0,3,10,3520,0,98074,47.6084,-122.011,3490,9667,1,13421,828000,0
1917,0,98,0,4,2.75,2580,3560,1.5,0,0,5,7,1710,870,98115,47.6753,-122.304,1980,3800,0,6140,937750,0
1961,0,53,0,3,1,1820,8142,1,0,0,3,7,1040,780,98168,47.505,-122.316,1820,8142,0,9962,309000,0
2014,0,0,0,3,2.25,1670,1596,3,0,0,3,8,1670,0,98136,47.5402,-122.387,1640,1310,0,3266,539950,0
2007,0,7,0,3,3.5,1540,1427,2,0,0,3,7,1360,180,98109,47.542,-122.322,1220,4000,0,2967,216650,0
1967,0,47,0,4,1.75,1780,9794,1,0,0,3,7,1780,0,98077,47.7419,-122.073,1160,9750,0,11574,353000,0
2009,0,5,0,3,2.5,1530,1131,3,0,0,3,8,1530,0,98103,47.6993,-122.346,1530,1445,0,2661,375000,0
2006,0,8,0,4,3.5,4220,5817,2,0,0,3,9,2910,1310,98065,47.5392,-121.862,4290,6637,1,10037,633000,0
1997,0,17,0,3,2.5,1700,6200,2,0,0,3,8,1700,0,98092,47.2621,-122.221,1720,6205,0,7900,262000,0
1955,0,60,0,4,1.75,1730,7245,1,0,0,4,7,880,850,98007,47.5995,-122.144,1550,7245,0,8975,423000,0
2014,0,0,0,4,2.5,3216,5902,2,0,0,3,9,3216,0,98030,47.3425,-122.179,2815,4916,1,9118,498445,0
1959,0,55,0,4,1,1170,8147,1.5,0,0,3,6,1170,0,98125,47.7281,-122.289,1260,8147,0,9317,350000,0
2005,0,10,0,3,2.5,2200,4052,2,0,0,3,8,2200,0,98058,47.4362,-122.178,2310,5082,0,6252,365000,0
2010,0,4,0,2,2.25,1130,2191,2,0,0,3,8,1130,0,98052,47.6861,-122.103,1140,1710,0,3321,415000,0
2004,0,10,0,2,2.5,3360,6750,2,0,0,3,9,3360,0,98053,47.7112,-122.033,2510,6750,1,10110,850000,0
2003,0,12,0,3,2.25,1260,3000,2,0,0,3,7,1260,0,98029,47.5459,-121.997,1630,3023,0,4260,477000,0
1977,0,37,0,3,2.5,2050,40003,1,0,0,4,8,1570,480,98027,47.47,-122,2700,46769,0,42053,439500,0
1976,0,38,0,5,2.75,3190,16920,1,0,3,3,9,1690,1500,98006,47.5641,-122.16,3100,13100,1,20110,1030000,0
1989,0,25,0,3,2.25,1340,7202,2,0,0,4,7,1340,0,98038,47.3563,-122.039,1470,7395,0,8542,279950,0
1994,0,21,0,3,2.5,1500,3060,2,0,0,3,7,1500,0,98006,47.5605,-122.117,2700,7734,0,4560,295000,0
1940,0,75,0,2,1,900,6656,1,0,0,3,7,900,0,98126,47.5467,-122.377,1230,6400,0,7556,355000,0
1965,0,49,0,4,1.75,1790,10186,1,0,0,4,8,1790,0,98177,47.7769,-122.376,1790,9142,0,11976,380000,0
2008,0,6,0,2,1.5,1020,1060,3,0,0,3,8,1020,0,98103,47.6801,-122.348,1340,1415,0,2080,441750,0
1922,0,92,0,1,0.75,420,6720,1,0,0,3,5,420,0,98108,47.552,-122.311,1420,6720,0,7140,280000,0
1980,0,35,0,5,3.25,4240,226097,2,0,0,3,8,3410,830,98053,47.6472,-122.017,2980,217800,0,230337,442500,0
1953,0,62,0,3,1.5,1230,7200,1,0,0,3,7,1230,0,98125,47.7281,-122.311,1400,6240,0,8430,424000,0
1925,0,89,0,3,1.75,1250,4120,1,0,0,4,7,980,270,98117,47.685,-122.36,1250,4120,0,5370,579500,0
1985,0,29,0,4,2.25,2420,59800,1,0,0,4,8,1350,1070,98074,47.6206,-122.056,2160,17598,0,62220,549000,0
2000,0,14,0,4,2.5,2410,4780,2,0,0,3,7,2410,0,98065,47.5326,-121.879,2410,4025,0,7190,440000,0
1962,0,53,0,5,1.75,1950,8720,1,0,0,3,7,1050,900,98001,47.3381,-122.289,1660,8030,0,10670,274000,0
2000,0,15,0,3,2.5,3400,16603,2,0,0,3,10,3400,0,98075,47.6012,-122.023,3400,12601,1,20003,900000,0
1962,0,52,0,4,1.75,1830,5375,1,0,0,2,7,1060,770,98198,47.4169,-122.316,1040,7500,0,7205,260000,0
1997,0,17,0,3,2,1340,1480,3,0,0,3,8,1340,0,98117,47.6904,-122.393,1340,1321,0,2820,369000,0
1927,0,88,0,4,1.5,2030,3300,1.5,0,0,4,8,1530,500,98116,47.5855,-122.383,2610,5400,0,5330,750000,0
1905,0,109,0,3,2,1340,3000,2,0,0,5,7,1340,0,98103,47.6857,-122.349,1120,3000,0,4340,549000,0
1967,0,48,0,3,1.75,1410,7700,1,0,0,4,7,1410,0,98056,47.5375,-122.176,1560,7700,0,9110,399500,0
1969,0,46,0,3,2.25,1750,9298,1,0,0,4,7,1410,340,98058,47.4579,-122.164,1720,7875,0,11048,265000,0
2008,0,6,0,2,1.5,1130,1340,2,0,0,3,8,910,220,98116,47.5761,-122.41,1310,1340,0,2470,439108,0
1948,0,66,0,1,1,1180,22000,1,0,2,3,6,1180,0,98198,47.4007,-122.323,1890,11761,0,23180,229500,0
1954,0,60,0,3,1,1050,6874,1,0,0,3,6,1050,0,98133,47.762,-122.355,1500,8954,0,7924,250000,0
1954,0,61,0,3,1,1260,6000,1,0,0,4,6,1260,0,98198,47.4187,-122.323,1520,6600,0,7260,248000,0
1998,0,16,0,3,2.5,2300,9218,2,0,2,3,9,2300,0,98027,47.5504,-122.077,2730,9930,1,11518,683000,0
1977,0,37,0,3,2,1640,4875,1,0,0,4,7,1040,600,98042,47.3661,-122.094,1640,5200,0,6515,231000,0
1990,0,24,0,4,2.5,1940,6887,2,0,0,3,7,1940,0,98023,47.2911,-122.353,1870,6144,0,8827,278000,0
1928,0,87,0,3,1,1260,4080,1.5,0,0,4,7,1260,0,98103,47.6893,-122.354,1130,3876,0,5340,565000,0
1965,0,49,0,4,2.25,2600,9900,1,0,0,3,7,1600,1000,98178,47.4881,-122.237,1770,11250,0,12500,270000,0
1974,0,41,0,3,1.75,2210,8955,1,0,1,3,8,1560,650,98033,47.6621,-122.189,2210,8976,0,11165,685000,0
1946,0,68,0,3,1,1470,7680,1,0,0,3,7,1220,250,98106,47.5276,-122.359,1470,6784,0,9150,248000,0
1969,0,45,0,3,1,900,4750,1,0,0,4,6,900,0,98023,47.3026,-122.363,900,3404,0,5650,89000,0
1946,0,68,0,2,1,1120,8661,1,0,0,3,7,1120,0,98125,47.7034,-122.307,1470,7205,0,9781,399000,0
2007,0,8,0,1,2,1070,675,2,0,0,3,8,880,190,98118,47.5574,-122.284,1220,788,0,1745,420000,0
2006,0,9,0,4,2.5,1610,4568,2,0,0,3,7,1610,0,98001,47.3351,-122.289,1834,4604,0,6178,292500,0
1900,1955,114,59,5,2,2450,9488,1,0,0,4,7,1240,1210,98133,47.7056,-122.34,1310,5693,0,11938,550000,0
1972,0,42,0,3,1,1250,9472,1,0,0,4,6,1250,0,98059,47.495,-122.154,1590,9600,0,10722,255000,0
1960,0,54,0,5,2.75,2840,12253,1,0,0,3,7,1420,1420,98028,47.7618,-122.253,2210,11620,0,15093,396000,0
1981,0,34,0,4,2.75,1890,5240,1,0,0,3,7,980,910,98106,47.5528,-122.356,1600,5240,0,7130,375000,0
1950,2008,64,6,3,1.75,1830,7969,1,0,0,3,7,930,900,98055,47.4667,-122.214,1790,7425,0,9799,312500,0
1994,0,20,0,3,2.5,1730,6930,2,0,0,3,8,1730,0,98003,47.2621,-122.308,1780,6930,0,8660,258000,0
1992,0,22,0,3,2.5,2770,10773,2,0,2,3,9,2770,0,98008,47.5754,-122.12,2530,10423,1,13543,749950,0
1978,0,37,0,3,1.75,1830,9620,1,0,0,4,8,1830,0,98023,47.3123,-122.389,1990,8280,0,11450,400000,0
1924,0,90,0,2,1.5,2060,10880,1,0,0,3,6,1190,870,98106,47.515,-122.362,1430,8781,0,12940,348140,0
1947,0,67,0,4,1.75,3720,8448,1,0,3,4,9,1960,1760,98199,47.6425,-122.406,2540,7064,1,12168,1280000,1
2009,0,6,0,3,3.5,1660,2298,2,0,0,3,8,1260,400,98116,47.5809,-122.403,1500,2198,0,3958,608000,0
1990,0,25,0,3,2.25,1570,8767,1,0,0,3,7,1180,390,98038,47.3568,-122.038,1570,7434,0,10337,274950,0
1924,0,90,0,2,1,840,3400,1,0,2,4,7,840,0,98119,47.6403,-122.372,2000,4000,0,4240,530000,0
2006,0,8,0,5,2.5,2900,5901,2,0,0,3,9,2900,0,98027,47.5396,-121.998,3200,5775,1,8801,808900,0
1918,0,96,0,1,1,1310,8667,1.5,0,0,1,6,1310,0,98122,47.6059,-122.313,1130,4800,0,9977,575000,0
1966,0,48,0,5,2.75,3000,9473,1,0,0,3,8,1500,1500,98052,47.6567,-122.13,2050,8820,0,12473,550000,0
1993,0,22,0,4,2.5,2020,7277,2,0,0,3,8,2020,0,98055,47.4318,-122.19,2820,7284,0,9297,308000,0
1988,0,27,0,3,2.25,1560,11997,1,0,0,3,7,1260,300,98065,47.5378,-121.742,1820,36590,0,13557,399950,0
1951,0,64,0,3,1.75,1210,7500,1,0,0,3,7,1210,0,98027,47.5294,-122.033,1250,6000,0,8710,460000,0
1972,0,42,0,3,1.75,1460,7980,1,0,0,3,7,1460,0,98028,47.7713,-122.265,1920,7980,0,9440,290000,0
1921,0,94,0,3,1,840,4495,1,0,0,3,6,840,0,98146,47.496,-122.349,1260,7434,0,5335,251000,0
1994,0,20,0,4,2.5,2710,8127,2,0,0,3,8,2710,0,98038,47.379,-122.032,2520,8436,0,10837,399900,0
1939,0,75,0,3,1,2000,22500,1,0,0,3,7,1680,320,98125,47.711,-122.308,2000,10000,0,24500,525000,0
1962,0,52,0,3,1.75,1180,13927,1,0,0,5,7,1180,0,98059,47.4818,-122.094,1400,13173,0,15107,299000,0
1955,0,59,0,3,1,1090,9900,1,0,0,4,7,1090,0,98052,47.6755,-122.16,1720,10419,0,10990,300000,0
1989,0,25,0,3,2.5,2090,8653,2,0,0,3,8,2090,0,98011,47.7498,-122.184,2090,6396,0,10743,455000,0
1947,0,67,0,3,2,1170,6750,1,0,0,5,7,800,370,98115,47.6752,-122.281,1330,6750,0,7920,592500,0
1996,0,18,0,3,2.5,1730,4924,2,0,0,3,8,1730,0,98029,47.5672,-122.005,1610,4313,0,6654,480680,0
2006,0,8,0,5,2.5,2950,72309,2,0,0,3,8,2950,0,98058,47.4186,-122.079,1480,56192,0,75259,599000,0
2008,0,6,0,3,2.5,1190,1290,3,0,0,3,8,1190,0,98107,47.6762,-122.378,1410,1923,0,2480,469000,0
1984,0,31,0,3,1.75,2650,5512,2,0,0,3,9,2250,400,98112,47.6265,-122.295,1440,5100,1,8162,1050000,0
1968,0,47,0,3,1,1320,9239,1,0,0,4,7,1320,0,98092,47.312,-122.183,1320,8415,0,10559,206000,0
1977,0,38,0,3,2.25,1480,7565,1,0,0,3,7,1220,260,98034,47.7288,-122.191,1660,7565,0,9045,439000,0
1962,0,52,0,5,2.75,1340,11583,1,0,0,3,7,1190,150,98034,47.709,-122.214,1950,10514,0,12923,425000,0
2006,0,9,0,3,2.5,3080,5598,2,0,0,3,8,3080,0,98055,47.4372,-122.206,3080,5303,0,8678,489000,0
2005,0,10,0,3,3.5,3310,5558,2,0,0,3,9,3310,0,98029,47.5553,-122.003,3310,5270,1,8868,780000,0
1977,0,37,0,3,2.25,2080,111513,1.5,0,0,3,8,1680,400,98072,47.7403,-122.112,2440,107157,0,113593,450000,0
1962,0,52,0,3,1,1060,10023,1,0,0,3,6,1060,0,98023,47.2869,-122.36,1060,10023,0,11083,169500,0
1905,0,110,0,2,1,540,2500,1,0,0,3,5,540,0,98107,47.6729,-122.383,1290,5000,0,3040,425000,0
1983,0,32,0,3,2.25,1840,6214,1,0,0,4,7,1270,570,98031,47.4043,-122.185,1840,6214,0,8054,285000,0
1942,0,72,0,2,1,810,8382,1,0,0,4,5,810,0,98146,47.5033,-122.358,1040,8382,0,9192,125000,0
1987,0,28,0,3,2.25,1640,8625,1,0,0,3,8,1320,320,98052,47.6772,-122.153,1770,9476,0,10265,580000,0
1978,0,37,0,4,2.5,2460,9296,2,0,0,3,9,2460,0,98007,47.6125,-122.152,2730,9900,1,11756,722500,0
1914,0,100,0,2,1,1220,7250,1,0,0,4,6,1220,0,98010,47.3585,-121.975,1350,20250,0,8470,135000,0
1978,0,36,0,3,2.25,2680,9162,1,0,0,3,8,1570,1110,98027,47.5683,-122.091,2480,8261,0,11842,599990,0
1906,0,108,0,7,2.75,3410,4056,1.5,0,0,4,8,2130,1280,98102,47.6454,-122.316,2510,4056,0,7466,750000,0
1909,0,106,0,2,1,1170,4080,1,0,0,4,7,1170,0,98117,47.6784,-122.386,1560,4586,0,5250,581000,0
1957,0,57,0,3,1,940,10875,1,0,0,3,7,940,0,98056,47.5121,-122.168,1250,11200,0,11815,230000,0
2013,0,1,0,4,3.25,2670,5001,1,0,0,3,9,1640,1030,98108,47.5666,-122.293,1610,5001,1,7671,500000,0
2014,0,0,0,3,3,2330,1944,2.5,0,0,3,8,1950,380,98027,47.5446,-122.016,2290,1407,0,4274,669950,0
1986,0,29,0,3,2.25,1220,2980,2,0,0,3,7,1220,0,98034,47.7151,-122.203,1220,2140,0,4200,319000,0
1953,0,61,0,3,1.75,1350,217852,1,0,0,3,8,1100,250,98022,47.2628,-122.03,2190,217800,0,219202,314000,0
1923,0,91,0,2,1.75,2080,4800,1,0,0,5,7,1080,1000,98117,47.6896,-122.362,1310,4800,0,6880,740000,0
2015,0,-1,0,3,1.75,1320,1014,3,0,0,3,9,1320,0,98122,47.6047,-122.305,1380,1495,1,2334,455000,0
1956,0,58,0,3,1,1300,9000,1,0,0,3,7,1300,0,98133,47.7352,-122.337,1500,9600,0,10300,305240,0
1983,0,31,0,3,2,1520,11067,1,0,0,3,7,1140,380,98074,47.6326,-122.033,1280,11371,0,12587,434900,0
2001,0,14,0,3,2.5,2830,5788,2,0,0,3,9,2830,0,98028,47.7604,-122.235,2500,5802,1,8618,590000,0
1964,0,51,0,3,1.5,1680,8712,1,0,0,3,8,1680,0,98059,47.4811,-122.149,1850,8797,0,10392,356000,0
1992,0,22,0,4,2.5,1930,9643,2,0,0,4,7,1930,0,98031,47.4065,-122.18,1930,7525,0,11573,315000,0
1935,0,79,0,2,1,1140,10404,1,0,0,3,5,1140,0,98155,47.7497,-122.286,2200,11550,0,11544,275000,0
1978,0,37,0,4,2.75,2750,15450,1,0,0,3,8,1800,950,98155,47.7749,-122.283,2750,10620,0,18200,615000,0
1931,0,83,0,3,1,2090,4000,1.5,0,2,3,8,1890,200,98199,47.6393,-122.392,2090,4000,0,6090,717500,0
1976,0,39,0,3,2,2350,15021,1,0,0,4,8,1770,580,98004,47.6408,-122.219,3530,15715,0,17371,1300000,1
1947,0,68,0,5,2,1430,5600,1.5,0,0,3,6,1430,0,98118,47.5192,-122.266,1860,5980,0,7030,440000,0
1992,0,22,0,4,2.5,1870,8449,2,0,0,3,8,1870,0,98188,47.4435,-122.274,2160,8113,0,10319,314000,0
1981,0,33,0,4,2.25,2880,9996,1,0,0,4,8,1920,960,98072,47.7584,-122.143,2410,10584,0,12876,614000,0
1928,0,86,0,4,2.75,1660,5150,1.5,0,0,5,7,1280,380,98117,47.6835,-122.362,1490,4017,0,6810,685000,0
2009,0,5,0,4,2.5,2811,7251,2,0,0,3,9,2811,0,98038,47.3686,-122.058,3040,7250,1,10062,455000,0
1915,0,99,0,2,1.75,1700,5000,1,0,0,3,6,850,850,98117,47.6787,-122.363,1690,5000,0,6700,511718,0
2003,0,11,0,3,2.25,1445,1471,2,0,0,3,7,1300,145,98027,47.5342,-122.072,1410,1399,0,2916,389999,0
2003,0,12,0,5,3.5,3680,8680,2,0,0,3,9,3680,0,98033,47.6575,-122.197,2020,8847,1,12360,1380000,1
1948,0,66,0,4,1.75,2260,6600,1,0,0,5,8,1220,1040,98115,47.6753,-122.278,2240,6600,0,8860,864000,0
1946,0,69,0,2,1,1810,10360,1,0,0,3,6,1010,800,98178,47.5039,-122.266,1810,10360,0,12170,216000,0
1941,0,73,0,2,1,870,6150,1,0,0,3,6,870,0,98106,47.5256,-122.347,1120,6150,0,7020,245000,0
1966,0,48,0,4,2.5,2700,10814,1,0,0,4,8,1560,1140,98030,47.369,-122.177,2460,6310,0,13514,300000,0
1992,0,22,0,4,2.5,2560,8780,2,0,0,3,9,2560,0,98029,47.5717,-121.991,2780,8357,1,11340,642000,0
1968,0,47,0,3,2.25,1900,18000,1,0,0,4,7,1280,620,98023,47.3251,-122.354,1920,15000,0,19900,212000,0
2010,0,4,0,3,2.5,2280,4557,2,0,0,3,8,2280,0,98028,47.7733,-122.266,2070,4610,0,6837,450000,0
1956,0,58,0,3,1.5,1690,9144,1,0,0,4,7,1140,550,98028,47.739,-122.253,1840,10600,0,10834,379950,0
1923,2001,92,14,3,2,1560,2589,1,0,0,3,7,790,770,98103,47.6587,-122.344,1450,3893,0,4149,604000,0
2003,0,11,0,3,2.5,1970,4036,2,0,0,4,7,1970,0,98065,47.5335,-121.869,1960,5020,0,6006,432000,0
1900,0,115,0,5,2,1810,4850,1.5,0,0,3,7,1810,0,98107,47.67,-122.394,1360,4850,0,6660,530000,0
1974,0,40,0,4,2,2990,102366,1,0,0,4,8,2990,0,98092,47.3068,-122.088,2820,57140,0,105356,510000,0
2003,0,11,0,4,3.5,4340,217800,2,0,0,3,11,4340,0,98053,47.6471,-122.013,3430,219106,1,222140,1190000,1
1956,0,58,0,3,1,1180,8474,1.5,0,0,3,7,1180,0,98155,47.7416,-122.327,1180,7200,0,9654,310000,0
1979,0,35,0,1,2.25,1940,2550,2,0,0,4,7,1100,840,98133,47.7313,-122.343,1580,5100,0,4490,315000,0
1947,0,67,0,3,1,1050,5664,1,0,0,4,7,910,140,98115,47.6897,-122.285,1500,5664,0,6714,445000,0
1929,0,85,0,2,1,1430,3000,1.5,0,0,3,7,1300,130,98112,47.6415,-122.303,1750,4000,0,4430,620000,0
1969,0,45,0,2,1,980,5393,1,0,0,3,6,980,0,98042,47.3674,-122.081,980,5200,0,6373,128000,0
1984,0,31,0,4,2.25,3040,10283,1,0,0,4,8,1430,1610,98074,47.6268,-122.038,1870,11074,0,13323,540000,0
1985,0,29,0,3,2.75,3176,13391,2,0,3,4,9,2726,450,98198,47.3429,-122.33,3470,12779,1,16567,819000,0
1926,0,88,0,1,1,590,833,1,0,0,4,7,590,0,98122,47.6082,-122.299,780,1617,0,1423,202000,0
1995,0,20,0,3,2.25,1654,8479,2,0,0,3,7,1654,0,98038,47.3627,-122.037,1654,8479,0,10133,314950,0
1998,0,16,0,3,2,2250,7904,1.5,0,0,3,8,2250,0,98001,47.3165,-122.252,2460,8622,0,10154,328000,0
1991,0,23,0,4,3.25,4060,20822,2,0,0,3,10,4060,0,98077,47.7213,-122.055,4170,23958,1,24882,1180000,1
1967,1996,47,18,3,2.5,3200,18750,1,0,0,2,9,2660,540,98027,47.5717,-122.12,3200,22475,1,21950,580000,0
1998,0,16,0,4,2.5,2496,8058,2,0,0,3,9,2496,0,98052,47.6791,-122.149,2496,7757,1,10554,661000,0
1985,0,29,0,3,2.25,1650,2958,2,0,0,3,7,1650,0,98031,47.3916,-122.167,1510,3788,0,4608,233500,0
1957,0,57,0,4,3,3060,50002,1,0,2,4,8,2460,600,98008,47.6205,-122.096,2740,16181,0,53062,959750,0
2009,0,6,0,3,2.25,1620,1425,3,0,0,3,8,1540,80,98027,47.5405,-122.026,1620,1237,0,3045,484000,0
1979,0,35,0,4,2.5,2570,9000,1,0,0,4,8,1590,980,98023,47.2986,-122.372,2120,8571,0,11570,287500,0
1981,0,33,0,4,2.25,1980,15086,2,0,0,3,8,1980,0,98074,47.647,-122.064,2100,10927,0,17066,530000,0
1948,0,66,0,2,1.75,1300,4000,2,0,0,3,7,1300,0,98105,47.6687,-122.288,1350,4013,0,5300,440000,0
2005,0,9,0,3,2.5,1480,1961,2,0,0,3,8,1480,0,98029,47.5478,-122,1400,1138,0,3441,450000,0
1990,0,24,0,3,2.5,1950,8251,2,0,0,3,7,1950,0,98001,47.343,-122.28,1540,8588,0,10201,287600,0
2014,0,0,0,3,2.5,2870,5163,2,0,0,3,9,2870,0,98103,47.6935,-122.352,1630,7995,1,8033,880000,0
2001,0,14,0,5,3.5,3300,7860,2,0,0,3,9,2410,890,98006,47.5463,-122.192,2540,9920,1,11160,789888,0
1969,0,45,0,4,2.25,2130,8640,1,0,0,3,7,1430,700,98034,47.7087,-122.198,2120,8826,0,10770,530000,0
1959,0,55,0,3,1.5,1610,6132,1,0,2,4,7,1090,520,98056,47.5017,-122.174,1650,6132,0,7742,238000,0
1980,1991,34,23,4,2.5,2690,46609,2,0,0,3,8,2690,0,98038,47.3843,-122.006,1500,34800,0,49299,530000,0
1942,0,72,0,4,1.5,1220,4900,1,0,0,3,6,1220,0,98118,47.5292,-122.269,1410,3000,0,6120,250000,0
2012,0,3,0,3,3,2500,6000,2,0,0,3,8,2500,0,98058,47.4408,-122.161,2130,6000,0,8500,432500,0
1983,0,31,0,3,3,3450,16200,2,0,0,3,10,3450,0,98074,47.6319,-122.041,3130,12150,1,19650,688000,0
1928,0,86,0,2,1,1230,3800,1,0,0,3,7,1230,0,98115,47.6797,-122.292,1610,3800,0,5030,435000,0
1959,0,55,0,3,1,1060,7350,1,0,0,4,7,1060,0,98032,47.3809,-122.287,1060,7350,0,8410,182000,0
1967,0,48,0,3,1,1590,8470,1,0,0,4,7,1140,450,98058,47.4473,-122.159,1570,9375,0,10060,314950,0
1963,0,51,0,3,1,1480,7284,1,0,0,3,7,970,510,98133,47.7757,-122.353,2020,7920,0,8764,336500,0
1956,0,58,0,3,1.5,1430,8000,1,0,0,4,7,1430,0,98007,47.5874,-122.136,1450,8000,0,9430,518000,0
1977,0,37,0,3,1.75,1320,7200,1,0,0,4,7,1320,0,98028,47.7341,-122.237,1750,7260,0,8520,333500,0
1963,0,51,0,3,1,1660,9600,1,0,0,3,7,1660,0,98034,47.708,-122.216,2020,9600,0,11260,360000,0
1958,0,56,0,3,1.5,1210,10588,1,0,0,4,7,1210,0,98002,47.2876,-122.212,1408,10588,0,11798,200000,0
1979,0,36,0,4,2.25,1880,9727,1,0,0,3,7,1100,780,98028,47.7731,-122.257,1790,10274,0,11607,419000,0
1950,0,64,0,3,1,890,5965,1,0,0,3,7,890,0,98155,47.7518,-122.279,1930,7500,0,6855,328000,0
1959,0,55,0,3,1.5,1840,10125,1,0,0,4,8,1220,620,98040,47.5607,-122.217,2320,10160,0,11965,830000,0
1988,0,26,0,3,2.5,1950,9906,2,0,0,3,8,1950,0,98074,47.6363,-122.025,1860,7689,0,11856,530000,0
1984,2014,30,0,3,1.75,1490,3840,2,0,0,3,8,1490,0,98033,47.6916,-122.214,3450,8500,0,5330,835000,0
2011,0,3,0,4,2.5,2575,4725,2,0,0,3,8,2575,0,98001,47.3058,-122.277,2575,5323,0,7300,359000,0
2008,0,7,0,4,3.5,3720,8301,2,0,0,3,10,2880,840,98004,47.5885,-122.199,2080,9676,1,12021,1450000,1
